<103> 	 at 10:45:45
<104> 	 at 10:45:46
<105> 	 at 10:45:46
<101> 	 at 10:45:47
<102> 	 at 10:45:47
Key.num_lock 	 at 10:45:48
Key.up 	 at 10:45:50
Key.home 	 at 10:45:50
Key.page_up 	 at 10:45:51
Key.page_up 	 at 10:45:51
Key.left 	 at 10:45:51
<12> 	 at 10:45:52
Key.right 	 at 10:45:52
Key.down 	 at 10:45:52
Key.end 	 at 10:45:52
Key.page_down 	 at 10:45:53
'4' 	 at 10:45:55
Key.num_lock 	 at 10:45:57
<97> 	 at 10:45:58
<100> 	 at 10:45:59
<100> 	 at 10:46:00
<100> 	 at 10:46:00
'ö' 	 at 10:46:38
'ä' 	 at 10:46:38
'.' 	 at 10:46:42
',' 	 at 10:46:44
Key.shift 	 at 10:47:06
Key.alt_l 	 at 10:47:07
Key.shift 	 at 10:47:09
Key.alt_l 	 at 10:47:09
['¨'] 	 at 10:47:11
'ä' 	 at 10:47:11
['¨'] 	 at 10:47:14
'ä' 	 at 10:47:15
'.' 	 at 10:47:16
"'" 	 at 10:47:16
['´'] 	 at 10:47:18
'å' 	 at 10:47:19
'§' 	 at 10:47:21
'ä' 	 at 10:47:22
['¨'] 	 at 10:47:22
Key.shift 	 at 10:47:24
Key.alt_l 	 at 10:47:24
Key.shift 	 at 10:47:25
Key.alt_l 	 at 10:47:25
'ä' 	 at 10:47:26
'§' 	 at 10:47:26
['¨'] 	 at 10:47:27
"'" 	 at 10:47:27
'.' 	 at 10:47:28
Key.ctrl_l 	 at 10:48:02
'\x13' 	 at 10:48:02
Key.ctrl_l 	 at 10:49:40
'\x13' 	 at 10:49:40
Key.ctrl_l 	 at 10:49:54
Key.ctrl_l 	 at 10:49:55
Key.ctrl_l 	 at 10:49:55
Key.ctrl_l 	 at 10:49:55
Key.ctrl_l 	 at 10:49:55
Key.ctrl_l 	 at 10:49:55
Key.ctrl_l 	 at 10:49:55
Key.ctrl_l 	 at 10:49:55
Key.ctrl_l 	 at 10:49:55
Key.ctrl_l 	 at 11:35:54
'\x06' 	 at 11:35:54
'a' 	 at 11:36:30
's' 	 at 11:36:30
'd' 	 at 11:36:30
'f' 	 at 11:36:31
Key.ctrl_l 	 at 11:36:34
Key.ctrl_l 	 at 11:36:34
Key.ctrl_l 	 at 11:36:35
Key.ctrl_l 	 at 11:36:35
